Word,中文,詞性,例句,中文說明,EN,US
fan,…迷，狂熱愛好者;熱烈崇拜者,noun,"More than 15,000 Liverpool fans attended Saturday's game.",超過15 000名利物浦隊球迷週六到現場觀看了比賽。,/fæn/,/fæn/
fancy,想要;想做,verb,Do you fancy a drink this evening?,你今晚想喝一杯嗎？,/ˈfænsi/,/ˈfænsi/
far,遠;遙遠地;久遠地,adverb,How far is it from Australia to New Zealand?,從澳大利亞到紐西蘭有多遠？,/fɑː(r)/,/fɑːr/
farm,農場,noun,a dairy farm,乳牛場,/fɑːm/,/fɑːrm/
farmer,農場主；養殖場主；農人,noun,a dairy/sheep farmer,乳牛場／牧羊場場主,/ˈfɑːmə(r)/,/ˈfɑːrmər/
farther,更遠;較遠（far的比較級）,adverb,How much farther is it to the airport?,去機場還有多遠？,/ˈfɑːðə(r)/,/ˈfɑːrðər/
farthest,最遠（far的最高級）,adverb,What's the farthest you've ever run?,你跑過的最遠距離是多少？,/ˈfɑːðɪst/,/ˈfɑːrðɪst/
fashion,（尤指服裝、髮型、妝容的）流行款式，時興式樣,noun,Long hair is back in fashion for men.,男士又流行留長髮了。,/ˈfæʃn/,/ˈfæʃn/
fashionable,流行的;時髦的;時尚的,adjective,a fashionable nightclub/restaurant,時尚夜總會／餐廳,/ˈfæʃnəbl/,/ˈfæʃnəbl/
fast,快的；迅速的；敏捷的,adjective,fast cars,速度快的汽車,/fɑːst/,/fæst/
fasten,扣緊；繫牢；紮好；關緊,verb,Make sure your seat belt is securely fastened.,請務必將您的安全帶繫好。,/ˈfɑːsn/,/ˈfæsn/
fat,胖的，肥胖的,adjective,He eats all the time but he never gets fat.,他總是在吃，但從來不長胖。,/fæt/,/fæt/
father,父親，爸爸,noun,My father took me to watch the football every Saturday.,我父親每週六帶我去看足球賽。,/ˈfɑːðə(r)/,/ˈfɑːðər/
faucet,（水）龍頭，閥門,noun,the hot/cold faucet,熱水／冷水龍頭,/ˈfɔːsɪt/,/ˈfɔːsɪt/
fault,過錯，過失；責任,noun,It's not my fault she didn't come!,她沒來不是我的錯！,/fɔːlt/,/fɔːlt/
favour,支持;贊同,noun,These plans are unlikely to find favour unless the cost is reduced.,這些計劃除非縮減費用，否則不大可能得到支持。,/ˈfeɪvə(r)/,/ˈfeɪvər/
favourite,最喜歡的;特別喜愛的,adjective,"""What's your favourite colour?"" ""Green.""",「你最喜歡甚麼顏色？」「綠色。」,/ˈfeɪvərɪt/,/ˈfeɪvərɪt/
fear,害怕，懼怕;擔憂,noun,"Trembling with fear, she handed over the money to the gunman.",她嚇得發抖，戰戰兢兢地把錢遞給了持槍歹徒。,/fɪə(r)/,/fɪr/
feather,羽毛;翎毛,noun,peacock/ostrich feathers,孔雀／鴕鳥羽毛,/ˈfeðə(r)/,/ˈfeðər/
feature,特色，特徵，特點,noun,The town's main features are its beautiful mosque and ancient marketplace.,漂亮的清真寺和古老的市集是該鎮的主要特色。,/ˈfiːtʃə(r)/,/ˈfiːtʃər/
February,二月,noun,Construction is expected to start in February.,預計建造工作二月份開始。,,
federal,聯邦政府的,adjective,the federal government,聯邦政府,/ˈfedərəl/,/ˈfedərəl/
fee,報酬;服務費;費用,noun,legal fees,訴訟費,/fiː/,/fiː/
feed,給（人、團體或動物）提供食物;餵養,verb,I usually feed the neighbour's cat while she's away.,鄰居不在家時，我經常替她餵貓。,/fiːd/,/fiːd/
feel,覺得;感到;體會到,verb,"""How are you feeling?"" ""Not too bad, but I've still got a slight headache.""",「你感覺如何？」「不算太糟，但我還是有點輕微的頭痛。」,/fiːl/,/fiːl/
feeling,（感官的）感覺,noun,I had a tingling feeling in my fingers.,我手指感到刺痛。,/ˈfiːlɪŋ/,/ˈfiːlɪŋ/
fellow,同事的；同伴的；同情況的,adjective,She introduced me to some of her fellow students.,她把我介紹給她的幾位同學。,/ˈfeləʊ/,/ˈfeləʊ/
female,女性的；婦女的；雌的；母的,adjective,Female lions do not have manes.,母獅沒有鬃毛。,/ˈfiːmeɪl/,/ˈfiːmeɪl/
festival,節日；節期,noun,a Jewish/Christian/Hindu festival,猶太教／基督教／印度教節日,/ˈfestɪvl/,/ˈfestɪvl/
fetch,（去）拿來，取回;（去）請來,verb,"Could you fetch me my glasses/fetch my glasses for me from the other room, please?",你去另一個房間幫我把眼鏡拿過來好嗎？,/fetʃ/,/fetʃ/
fever,發燒，發熱,noun,He's got a headache and a slight fever.,他頭痛，還有點發燒。,/ˈfiːvə(r)/,/ˈfiːvər/
few,我需要到城裡買幾樣東西。,determiner,I need to get a few things in town.,我需要到城裡買幾樣東西。,/fjuː/,/fjuː/
field,田;地;牧場,noun,We drove past fields of ripening wheat.,我們驅車經過快要成熟的麥田。,/fiːld/,/fiːld/
fifteen,（數字）15,number,They live about fifteen miles away.,他們住在大約15英里以外的地方。,/ˌfɪfˈtiːn/,/ˌfɪfˈtiːn/
fifteenth,第十五（的）,ordinal number,Today is the fifteenth (of June).,今天是（6月）15日。,/ˌfɪfˈtiːnθ/,/ˌfɪfˈtiːnθ/
fifth,第五（的）,ordinal number,the fifth floor of the building,大樓的六層,/fɪfθ/,/fɪfθ/
fiftieth,第五（的）,ordinal number,,,/ˈfɪftiəθ/,/ˈfɪftiəθ/
fifty,（數字）50,number,"forty-nine, fifty, fifty-one",49，50，51,/ˈfɪfti/,/ˈfɪfti/
fight,搏鬥;打鬥;打架,verb,There were children fighting in the playground.,當時操場上有些孩子在打架。,/faɪt/,/faɪt/
fighting,（尤指戰爭中的）戰鬥，搏鬥,noun,Fierce fighting has continued all day on the outskirts of the town.,激烈的戰鬥已經在市郊持續了一整天。,/ˈfaɪtɪŋ/,/ˈfaɪtɪŋ/
figure,數字,noun,Can you read this figure? Is it a three or an eight?,你能認出這個數字嗎？是3還是8？,/ˈfɪɡə(r)/,/ˈfɪɡjər/
figure out,弄懂，弄明白;想出,phrasal verb,I can't figure out why he did it.,我弄不明白他為甚麼要那麼做。,,
file,（尤指辦公室的）文件箱，文件夾，卷宗,noun,a box/envelope file,文件箱／袋,/faɪl/,/faɪl/
fill,（使）充滿，（使）裝滿，（使）注滿；佔據；布滿,verb,I filled the bucket with water.,我往桶裡注滿了水。,/fɪl/,/fɪl/
fill in,向…提供（額外或漏聽的資訊）,phrasal verb,I filled her in on the latest gossip.,我告訴了她最新的小道消息。,,
fill up,（使）充滿；（使）填滿,phrasal verb,The seats in the hall were filling up fast.,禮堂裡的座位很快就坐滿了。,,
film,電影;影片,noun,What's your favourite film?,你最喜歡哪部電影？,/fɪlm/,/fɪlm/
final,最後的，最終的,adjective,a final warning/offer,最後一次警告／出價,/ˈfaɪnl/,/ˈfaɪnl/
finally,最後;終於,adverb,We finally got home at midnight.,我們終於在午夜時分到了家。,/ˈfaɪnəli/,/ˈfaɪnəli/
finance,資金;財務管理;財政;金融,noun,corporate/personal/public finance,企業財務／個人理財／公共財政,/ˈfaɪnæns/,/faɪˈnæns/
financial,財務的;財政的;金融的,adjective,financial difficulties/success,財政困難／經濟上的成功,/faɪˈnænʃl/,/fəˈnænʃl/
find,（偶然）發現，碰上；找到，尋得；找出，查明,verb,I've just found a ten-pound note in my pocket.,我剛在口袋裡找到了一張十英鎊的鈔票。,/faɪnd/,/faɪnd/
find out,找出，查明；得知,phrasal verb,How did you find out about the party?,你是怎麼知道有這個派對的？,,
fine,好的;夠好的;健康的，身體好的,adjective,I felt terrible last night but I feel fine this morning.,我昨晚感覺很不舒服，但今天早上就好了。,/faɪn/,/faɪn/
finely,細薄地；細小地,adverb,Chop the carrots very finely.,把胡蘿蔔剁得很碎。,/ˈfaɪnli/,/ˈfaɪnli/
finger,（尤指除大拇指之外的）手指,noun,He noticed her long delicate fingers.,他注意到她纖細修長的手指。,/ˈfɪŋɡə(r)/,/ˈfɪŋɡər/
finish,完成;（使）完結,verb,I'll call you when I've finished my homework.,我做完作業後會給你打電話。,/ˈfɪnɪʃ/,/ˈfɪnɪʃ/
finished,完成的；結束的；最後的,adjective,How much does the finished product cost?,最後的成品要多少錢？,/ˈfɪnɪʃt/,/ˈfɪnɪʃt/
finish off,完成;使完結,phrasal verb,I want to finish off this essay before I go to bed.,我想寫完這篇文章再上床睡覺。,,
fire,火;（燃燒著的）燃料，柴火,noun,Animals are usually afraid of fire.,動物通常都怕火。,/ˈfaɪə(r)/,/ˈfaɪər/
firm,結實的；堅固的,adjective,I'd rather sleep on a firm mattress than a soft one.,我寧願睡硬床墊，也不要軟的。,/fɜːm/,/fɜːrm/
firmly,堅固地；牢固地,adverb,Make sure the rope is firmly attached before attempting to climb down.,在順著繩子往下爬之前，確保繩子已繫牢。,/ˈfɜːmli/,/ˈfɜːrmli/
first,第一（的）;首先;最初;首要（的）,ordinal number,This is my first visit to New York.,這是我第一次到紐約。,/fɜːst/,/fɜːrst/
fish,魚;魚肉,noun,Several large fish live in the pond.,池塘裡有幾條大魚。,/fɪʃ/,/fɪʃ/
fishing,釣魚;捕魚,noun,My dad loves to go fishing.,我爸爸喜歡釣魚。,/ˈfɪʃɪŋ/,/ˈfɪʃɪŋ/
fit,合適，合身;可容納,verb,That jacket fits you perfectly.,那件外套你穿著很合身。,/fɪt/,/fɪt/
fit in,合得來；適應,phrasal verb,It's no surprise she's leaving - she never really fitted in.,她要離開——這一點也不意外，因為她從來都沒有真正融入過。,,
five,（數字）5,number,"Five, four, three, two, one, blast-off!",五，四，三，二，一，點火！,/faɪv/,/faɪv/
fix,修理,verb,"They couldn't fix my old computer, so I bought a new one.",他們修不好我的舊電腦了，所以我買了臺新的。,/fɪks/,/fɪks/
fixed,確定的;固定的;不能變的,adjective,a fixed price,固定價格,/fɪkst/,/fɪkst/
flag,旗，旗幟,noun,Flags of all the participating countries are flying outside the stadium.,所有參賽國家的國旗都飄揚在體育場外。,/flæɡ/,/flæɡ/
flame,火焰;火舌,noun,The flames grew larger as the fire spread.,火勢蔓延，火焰越來越高。,/fleɪm/,/fleɪm/
flash,（使）閃耀，（使）閃光,verb,Stop flashing that light in my eyes!,別拿那個手電筒晃我的眼睛了！,/flæʃ/,/flæʃ/
flat,水平的；平坦的,adjective,An ice rink needs to be completely flat.,溜冰場地必須十分平坦。,/flæt/,/flæt/
flavour,（食物或飲料的）風味;（某種）味道,noun,Add a little salt to bring out the flavour of the herbs.,加一點鹽使芳草的味道更鮮美。,/ˈfleɪvə(r)/,/ˈfleɪvər/
flesh,（人或動物的）肉;果肉;蔬菜的可食部分,noun,The thorn went deep into the flesh of my hand.,刺深深紮進了我的手。,/fleʃ/,/fleʃ/
flight,空中航行，航程,noun,I'll never forget my first flight.,我永遠也不會忘記第一次乘飛機的經歷。,/flaɪt/,/flaɪt/
float,漂浮,verb,An empty bottle will float.,空瓶子能浮起來。,/fləʊt/,/fləʊt/
flood,（使）充滿水;（使）淹沒,verb,Our washing machine broke down yesterday and flooded the kitchen.,我們的洗衣機昨天壞了，把廚房裡弄得到處是水。,/flʌd/,/flʌd/
flooded,被水淹沒的,adjective,flooded fields,被淹沒的田地,/ˈflʌdɪd/,/ˈflʌdɪd/
flooding,（尤指因降雨所致的）洪水,noun,Some roads have been closed because of flooding.,由於洪水，一些道路已經封閉了。,/ˈflʌdɪŋ/,/ˈflʌdɪŋ/
floor,（房間的）地板，地面,noun,The floor was partly covered with a dirty old rug.,部分地板上鋪著骯髒的舊地毯。,/flɔː(r)/,/flɔːr/
flour,（穀物磨成的）粉;（尤指）小麥粉,noun,Thicken the sauce with a little flour.,細細地給烤盤塗一層油脂並撒滿麵粉。,/ˈflaʊə(r)/,/ˈflaʊər/
flow,（尤指液體、氣體或電）流動,verb,Lava from the volcano was flowing down the hillside.,火山岩漿順著山坡往下流。,/fləʊ/,/fləʊ/
flower,花;開花植物,noun,wild flowers,野花,/ˈflaʊə(r)/,/ˈflaʊər/
flu,流行性感冒，流感,noun,a flu virus,流感病毒,/fluː/,/fluː/
fly,（鳥、昆蟲或飛機）飛，飛行,verb,The poor bird couldn't fly because it had a broken wing.,這隻可憐的鳥飛不起來了，因為它的翅膀斷了。,/flaɪ/,/flaɪ/
flying,搭乘飛機,noun,Annette's scared of flying.,安妮特害怕乘飛機。,/ˈflaɪɪŋ/,/ˈflaɪɪŋ/
focus,（尤指注意力或興趣的）中心，焦點,noun,I think Dave likes to be the focus of attention.,我覺得戴夫喜歡受人關注。,/ˈfəʊkəs/,/ˈfəʊkəs/
fold,折疊，對折（尤指紙或布）；可折疊，可對折,verb,I folded the letter (in half) and put it in an envelope.,我把信對折後裝進一個信封裡。,/fəʊld/,/fəʊld/
follow,跟隨;跟著,verb,A dog followed us home.,一隻狗跟著我們回了家。,/ˈfɒləʊ/,/ˈfɑːləʊ/
following,在…之後,preposition,The weeks following the riots were extremely tense.,暴亂之後的幾周氣氛極其緊張。,/ˈfɒləʊɪŋ/,/ˈfɑːləʊɪŋ/
follow up,追查…的更多情況;對…採取進一步行動,phrasal verb,The idea sounded interesting and I decided to follow it up.,這個想法聽起來很有趣，我決定要作進一步的了解。,,
food,食物;食品;（供植物生長的）養料,noun,baby food,嬰兒食品,/fuːd/,/fuːd/
foot,（人或動物的）腳，足,noun,I've got a blister on my left foot.,我左腳上起了個水泡。,/fʊt/,/fʊt/
football,足球（運動）,noun,a football player/team,足球運動員／足球隊,/ˈfʊtbɔːl/,/ˈfʊtbɔːl/
for,（表示給予的物件）給,preposition,There's a phone message for you.,你有一個電話留言。,/fə(r)/,/fɔː(r)/
force,力，力量;力氣;（尤指）暴力，武力,noun,The force of the wind had brought down a great many trees in the area.,強風刮倒了這一地區的許多樹木。,/fɔːs/,/fɔːrs/
forecast,（尤指對特定形勢或天氣的）預測，預報,noun,economic forecasts,經濟預測,/ˈfɔːkɑːst/,/ˈfɔːrkæst/
foreign,外國的,adjective,Spain was the first foreign country she had visited.,西班牙是她訪問過的第一個海外國家。,/ˈfɒrən/,/ˈfɔːrən/
forest,森林;林區,noun,the Black Forest,黑林山,/ˈfɒrɪst/,/ˈfɔːrɪst/
forever,永遠,adverb,I like the house but I don't imagine I'll live there forever.,我喜歡那棟房子，但是我想我不會在那裡永遠住下去。,/fərˈevə(r)/,/fərˈevər/
forget,忘記，遺忘,verb,"I'm sorry, I've forgotten your name.",對不起，我忘了你的名字。,/fəˈɡet/,/fərˈɡet/
forgive,原諒;寬恕,verb,I don't think she's ever quite forgiven me for getting her name wrong that time.,我認為那次把她的名字弄錯後她一直都沒完全原諒我。,/fəˈɡɪv/,/fərˈɡɪv/
fork,餐叉,noun,a knife and fork,一副刀叉,/fɔːk/,/fɔːrk/
form,（使）出現，（使）形成，（使）産生,verb,A crowd formed around the accident.,事故現場圍起了一群人。,/fɔːm/,/fɔːrm/
formal,公開的;正式的,adjective,formal procedures,正式的程式,/ˈfɔːml/,/ˈfɔːrml/
formally,正式地,adverb,The deal will be formally announced on Tuesday.,這筆交易將於週二正式宣佈。,/ˈfɔːməli/,/ˈfɔːrməli/
former,較早的，早先的;以前的;舊時的,adjective,his former wife,他的前妻,/ˈfɔːmə(r)/,/ˈfɔːrmər/
formerly,以前，從前，在過去,adverb,The European Union was formerly called the European Community.,歐盟舊稱歐洲共同體。,/ˈfɔːməli/,/ˈfɔːrmərli/
formula,慣例；配方；處方,noun,We have changed the formula of the washing powder.,我們已經更換了洗衣粉的配方。,/ˈfɔːmjələ/,/ˈfɔːrmjələ/
fortune,一大筆錢；大量財産,noun,She inherited a fortune from her grandmother.,她從祖母那裡繼承了一大筆財産。,/ˈfɔːtʃuːn/,/ˈfɔːrtʃən/
forty,（數字）40,number,"thirty-nine, forty, forty-one",39，40，41,/ˈfɔːti/,/ˈfɔːrti/
forward,向前,adverb,She leaned forward to whisper something in my ear.,她傾身向前，對我耳語了一番。,/ˈfɔːwəd/,/ˈfɔːrwərd/
found,（find的過去式及過去分詞）,verb,Boston was founded in 1630 by Puritan colonists from England.,波士頓是1630年由來自英格蘭的清教徒殖民者興建的。,/faʊnd/,/faʊnd/
foundation,創建;建立,noun,the foundation of a new state,新州的建立,/faʊnˈdeɪʃn/,/faʊnˈdeɪʃn/
four,（數字）四,number,Most animals have four legs.,大多數動物都有四條腿。,/fɔː(r)/,/fɔːr/
fourteen,（數字）14,number,Her baby is fourteen months old.,她的孩子14個月大了。,/ˌfɔːˈtiːn/,/ˌfɔːrˈtiːn/
fourteenth,第十四（的）,ordinal number,Valentine's Day is the fourteenth (of February).,情人節是（二月份的）第十四天。,/ˌfɔːˈtiːnθ/,/ˌfɔːrˈtiːnθ/
fourth,第四（的）,ordinal number,My birthday is on the fourth (of December).,我的生日是（12月）4日。,/fɔːθ/,/fɔːrθ/
frame,（圖畫、門、窗的）框，框架,noun,a picture frame,畫框,/freɪm/,/freɪm/
free,自由的；無拘束的,adjective,Am I free (= do I have permission) to leave now?,現在我可以離開了嗎？,/friː/,/friː/
freedom,自由;不受限制;自主,noun,"I felt such a sense of freedom, up in the hills alone.",獨自一人呆在山上，我感到非常自在。,/ˈfriːdəm/,/ˈfriːdəm/
freely,自由地；不受控制地；不受限制地,adverb,For the first time in months she could move freely.,數月以來她第一次可以自由走動。,/ˈfriːli/,/ˈfriːli/
freeze,（使）凍結，（使）結冰,verb,Water freezes to ice at a temperature of 0°C.,水在攝氏零度結冰。,/friːz/,/friːz/
frequent,頻繁發生的;常見的,adjective,a frequent visitor to the US,經常去美國的人,/ˈfriːkwənt/,/ˈfriːkwənt/
frequently,頻繁地，經常地,adverb,frequently asked questions,經常問到的問題,/ˈfriːkwəntli/,/ˈfriːkwəntli/
fresh,新的;不同的;另外的,adjective,The original orders were cancelled and I was given fresh instructions.,原來的命令撤銷了，我又接到了新的指令。,/freʃ/,/freʃ/
freshly,剛剛;新近,adverb,freshly baked bread,剛烤好的麵包,/ˈfreʃli/,/ˈfreʃli/
Friday,星期五,noun,Shall we go to the theatre on Friday?,我們星期五去看戲怎麽樣？,,
fridge,冰箱，電冰箱,noun,Don't forget to put the milk back in the fridge.,別忘了把牛奶放回冰箱裡。,/frɪdʒ/,/frɪdʒ/
friend,朋友，友人,noun,She's my best/oldest/closest friend - we've known each other since we were five.,她是我最要好／交情最久／最親密的朋友——我們五歲的時候就認識了。,/frend/,/frend/
friendly,友好的，友善的,adjective,a friendly face/smile,友好的面容／微笑,/ˈfrendli/,/ˈfrendli/
friendship,友誼,noun,Their friendship goes back to when they were at school together.,他們的友誼可追溯到學生時代。,/ˈfrendʃɪp/,/ˈfrendʃɪp/
frighten,使害怕，使受驚,verb,He frightens me when he drives so fast.,他開車這麽快，我很害怕。,/ˈfraɪtn/,/ˈfraɪtn/
frightened,害怕的，受驚的,adjective,She gets frightened when he shouts at her.,他衝她吼時她很害怕。,/ˈfraɪtnd/,/ˈfraɪtnd/
frightening,可怕的，令人恐懼的,adjective,a frightening thought,可怕的想法,/ˈfraɪtnɪŋ/,/ˈfraɪtnɪŋ/
from,（表示起始點）從…開始，始於,preposition,What time does the flight from Amsterdam arrive?,從阿姆斯特丹飛來的航班甚麽時候到達？,/frəm/,/frɒm/
front,前面；正面,noun,The front of the museum is very impressive.,博物館的正面極爲壯觀。,/frʌnt/,/frʌnt/
frozen,（freeze 的過去分詞）,verb,They skated over the frozen lake.,他們在結冰的湖面上滑冰。,/ˈfrəʊzn/,/ˈfrəʊzn/
fruit,水果,noun,Apricots are the one fruit I don't like.,水果中只有杏子是我不愛吃的。,/fruːt/,/fruːt/
fry,油炸;油煎;油炒,verb,Fry the mushrooms in a little butter.,用少許牛油煎一下蘑菇。,/fraɪ/,/fraɪ/
fuel,燃料;燃燒劑,noun,"Wood, coal, oil, petrol, and gas are all different kinds of fuel.",木材、煤炭、石油、汽油和煤氣是不同種類的燃料。,/ˈfjuːəl/,/ˈfjuːəl/
full,（容器或空間）裝滿的，充滿的,adjective,This cup is very full so be careful with it.,這個杯子太滿了，要當心。,/fʊl/,/fʊl/
fully,完全地；全部地,adverb,Have you fully recovered from your illness?,你完全康復了嗎？,/ˈfʊli/,/ˈfʊli/
fun,樂趣；快樂；享受,noun,Have fun (= enjoy yourself)!,玩個痛快！,/fʌn/,/fʌn/
function,功能，用途；職責,noun,The function of the veins is to carry blood to the heart.,靜脈的功能是將血液輸送回心臟。,/ˈfʌŋkʃn/,/ˈfʌŋkʃn/
function as,充當;當作;起…的作用,phrasal verb,We have a spare bedroom that also functions as a study.,我們有一間空臥室可以當書房用。,,
fund,基金;專款;資金,noun,a pension/trust fund,養老／信託基金,/fʌnd/,/fʌnd/
fundamental,基礎的，基本的,adjective,We need to make fundamental changes to the way in which we treat our environment.,我們需要從根本上改變對待環境的態度。,/ˌfʌndəˈmentl/,/ˌfʌndəˈmentl/
funeral,葬禮，喪禮,noun,The funeral will be held next Friday.,葬禮將在下週五舉行。,/ˈfjuːnərəl/,/ˈfjuːnərəl/
funny,滑稽的;有趣的,adjective,Do you know any funny jokes?,你知道甚麽有趣的笑話嗎？,/ˈfʌni/,/ˈfʌni/
fur,（動物的）毛，毛皮,noun,She stroked the rabbit's soft fur.,她輕撫著兔子身上軟軟的毛。,/fɜː(r)/,/fɜːr/
furniture,傢俱,noun,They have a lot of antique furniture.,他們有很多古董家具。,/ˈfɜːnɪtʃə(r)/,/ˈfɜːrnɪtʃər/
further,（far 的比較級）更遠地，在更大程度上;進一步地,adverb,"I never got further than the first five pages of ""Ulysses"".",恐怕我看《尤利西斯》從未超過開頭的五頁，之後就看不下去了。,/ˈfɜːðə(r)/,/ˈfɜːrðər/
future,將來，未來，今後,noun,Sometimes I worry about the future.,有時候我擔心未來。,/ˈfjuːtʃə(r)/,/ˈfjuːtʃər/
