Word,中文,詞性,例句,中文說明,EN,US
get on with,開始（或繼續）做某事（尤指某項工作）,phrasal verb,Stop talking and get on with it.,別說了，開始做吧。,,
get out of,免獄卡，免罪卡,noun,He warns Americans that their nationality is not a get-out-of-jail-free card if they break the law abroad.,他警告美國人，如果他們在國外違反法律，他們的美國國籍可不等於免罪卡。,,
get over,從（疾病或令人不快的事）中恢復過來,phrasal verb,She was only just getting over the flu when she got a stomach bug.,她流感剛要好，又得了胃病。,,
get round,（消息等）傳開，流傳,phrasal verb,News of her pregnancy soon got round (the office).,她懷孕的消息迅速（在辦公室）傳開了。,,
get round to,做（早就想做的事情）,phrasal verb,I still haven't got around to fixing that tap.,我還沒修理那個水龍頭。,,
get through,用電話聯繫上;打通電話,phrasal verb,I tried to call her but couldn't get through.,我試圖給她打電話，但打不通。,,
get up,起立，站起來,phrasal verb,The whole audience got up and started clapping.,全體觀眾起立鼓掌。,,
giant,（尤指兒童故事中兇殘的）巨人,noun,He was one of the intellectual/political giants of this century.,他是本世紀知識界的巨擘／政界巨頭之一。,/ˈdʒaɪənt/,/ˈdʒaɪənt/
gift,禮物;贈品,noun,a birthday/wedding gift,生日／結婚禮物,/ɡɪft/,/ɡɪft/
girl,（尤指學齡階段的）女孩，姑娘,noun,Two girls showed us round the classrooms.,兩個女孩領著我們參觀了課室。,/ɡɜːl/,/ɡɜːrl/
girlfriend,女朋友，女情人,noun,I've never met his girlfriend.,我從沒見過他的女友。,/ˈɡɜːlfrend/,/ˈɡɜːrlfrend/
give,送給;提供;贈與;給予,verb,She gave us a set of saucepans as a wedding present.,她送我的結婚禮物是一套深平底鍋。,/ɡɪv/,/ɡɪv/
give away,贈送;捐贈;免費派發,phrasal verb,The shop is giving away a sample to every customer.,商店給每位顧客贈送一個樣本禮物包。,,
give back,"還,歸還",phrasal verb,Has she given you those books back yet?,她把那些書還給你了嗎？,,
give in,（先是拒絕，後來）勉強同意，讓步,phrasal verb,He nagged me so much for a new bike that eventually I gave in.,他沒完沒了地纏著我要一輛新腳踏車，我最後只好答應了。,,
give off,發出，放出（熱、光、氣味或氣體）,phrasal verb,That tiny radiator doesn't give off much heat.,那個小散熱器散發不出太多熱量。,,
give out,"出毛病,停止運作",phrasal verb,At the end of the race his legs gave out and he collapsed on the ground.,到比賽終點時，他腿一軟就倒在地上。,,
give up,放棄猜測；認輸,phrasal verb,You'll never guess the answer - do you give up?,你永遠也猜不到答案的——你認輸嗎？,,
glad,高興的;愉快的;樂意的,adjective,We were glad about her success.,我們都為她的成功感到高興。,/ɡlæd/,/ɡlæd/
glass,玻璃,noun,coloured/broken glass,有色／碎玻璃,/ɡlɑːs/,/ɡlæs/
global,全球的，全世界的,adjective,a global catastrophe/problem,世界性災難／全球性問題,/ˈɡləʊbl/,/ˈɡləʊbl/
glove,（分手指的）手套,noun,leather/woollen/rubber gloves,皮／羊毛線／橡皮手套,/ɡlʌv/,/ɡlʌv/
glue,膠;膠水,noun,Is it worth trying to glue this plate back together?,還值得把這個碟子重新黏好嗎？,/ɡluː/,/ɡluː/
go,去;走,verb,We went into the house.,我們走進了那座房子。,/ɡəʊ/,/ɡəʊ/
go ahead,開始做;著手做,phrasal verb,We've received permission to go ahead with the music festival in spite of opposition from local residents.,儘管受到當地居民反對，我們還是獲准開始著手籌備音樂節。,,
goal,（足球或曲棍球等的）球門,noun,Black kicked/headed the ball into/towards the goal.,布萊克把球踢／頂進／向球門。,/ɡəʊl/,/ɡəʊl/
go away,走開，離開，離去,phrasal verb,Go away and leave me alone!,走開，別煩我！,,
go back,返回，回到,phrasal verb,That restaurant was terrible - I'm never going back there again.,那間餐廳差極了——我再也不會到那裡吃飯。,,
go by,（在空間上）經過;（時間）逝去,phrasal verb,You can watch the trains going by from this window.,你可以從這個窗口看往來的火車。,,
god,（主宰某個領域的）神;神像,noun,the ancient Greek gods and goddesses,古希臘的男女眾神,/ɡɒd/,/ɡɑːd/
go down,下去，下降，下沉（到某種水準或某個地方）,phrasal verb,He went down on his knees and begged for forgiveness.,他雙膝跪下請求原諒。,,
go into,開始從事（某職業），進入（某行業）,phrasal verb,My son's planning to go into journalism.,我兒子打算從事新聞業。,,
gold,金，金子，黃金,noun,gold jewellery,金首飾,/ɡəʊld/,/ɡəʊld/
good,令人滿意的；令人愉快的；合意的；有趣的,adjective,a good book,一本好書,/ɡʊd/,/ɡʊd/
goodbye,再見，再會,exclamation,Goodbye Bill! See you next week.,再見比爾！下星期見。,/ˌɡʊdˈbaɪ/,/ˌɡʊdˈbaɪ/
goods,商品，貨物;私人財產,phrase,There is a 25 percent discount on all electrical goods until the end of the week.,週末前，所有電器商品全部七五折岀售。,/ɡʊdz/,/ɡʊdz/
go off,（電燈）熄滅；（機器）停止運行，停止運轉,phrasal verb,The lights went off in several villages because of the storm.,這場暴風雨造成了幾個村莊停電。,,
go on,進行；發生,phrasal verb,I'm sure we never hear about a lot of what goes on in government.,我肯定，政府內部發生的很多事情我們永遠也不會聽說。,,
go out,（尤指為了去娛樂）外出，出門參加社交活動,phrasal verb,Please close the door as you go out.,你出去玩的時候請把門關上。,,
go over,接受；引起某種反應,phrasal verb,Forensic scientists are going over the victim's flat in a search for clues about the murderer.,法醫學家正在仔細檢查受害人的公寓，以搜尋殺人兇手的蛛絲馬跡。,,
go round,旋轉木馬,noun,The girls wanted the merry-go-round to go faster.,那些女孩想旋轉木馬轉得快一點。,,
go through,獲得正式認可;被批准;被通過,phrasal verb,A city council member said that the proposals for the new shopping centre were unlikely to go through.,市政務委員會的一位人士說，修建新購物中心的計劃不可能獲得通過。,,
go through with,照原先答應（或承諾）的去做；做完（令人不快或困難的事情）；將…進行到底,phrasal verb,He'd threatened to divorce her but I never thought he'd go through with it.,他曾經威脅要和她離婚，但是我從不認為他真的會付諸行動。,,
go to,去;走,verb,We went into the house.,我們走進了那座房子。,,
go up,闖勁；進取心,noun,This job needs someone with a lot of get-up-and-go.,這項工作需要一個有點魄力的人來做。,,
govern,統治;管理;治理,verb,The country has been governed by military regimes.,這個國家現在由軍政府控制。,/ˈɡʌvn/,/ˈɡʌvərn/
government,政府，內閣,noun,the government of Israel,以色列政府,/ˈɡʌvənmənt/,/ˈɡʌvərnmənt/
governor,統治者;管轄者;總督;州長,noun,the governor of Texas,德克薩斯州州長,/ˈɡʌvənə(r)/,/ˈɡʌvərnər/
go with,與…相配；與…協調；與…和諧,phrasal verb,This wine goes particularly well with seafood.,喝這種葡萄酒吃海鮮最合適。,,
go without,沒有…而勉強應付;沒有…也行;不享受;放棄,phrasal verb,"They were poor as children, and sometimes had to go without.",他們童年時非常貧困，有時候只能勉強度日。,,
grab,攫取，搶奪,verb,A mugger grabbed her handbag as she was walking across the park.,她穿過公園時一個劫匪搶了她的手提包。,/ɡræb/,/ɡræb/
grade,等級，品級，級別,noun,"He's suffering from some kind of low-grade (= slight) infection, which he can't seem to get rid of.",他感染程度較輕，但好像就是無法痊癒。,/ɡreɪd/,/ɡreɪd/
gradual,逐步的，逐漸的;平緩的,adjective,There has been a gradual improvement in our sales figures over the last two years.,在過去的兩年裡，我們的銷售額一直在逐步上升。,/ˈɡrædʒuəl/,/ˈɡrædʒuəl/
gradually,逐步地，逐漸地;平緩地,adverb,"Gradually, she realized that he wasn't telling her the truth.",她漸漸地意識到他不跟她說實話。,/ˈɡrædʒuəli/,/ˈɡrædʒuəli/
grain,（尤指像稻穀、小麥等像草一樣的植物的）穀粒，穎果，穀（物）,noun,grains of wheat/rice,麥／米粒,/ɡreɪn/,/ɡreɪn/
gram,（質量單位）克,noun,Add 125 grams of sugar.,,/ɡræm/,/ɡræm/
grammar,文法;文法學,noun,a German grammar,一本德語文法書,/ˈɡræmə(r)/,/ˈɡræmər/
grand,重大的；主要的；首要的,adjective,She has all kinds of grand ideas.,她腦子裡都是些經天緯地的想法。,/ɡrænd/,/ɡrænd/
grandfather,（外）祖父,noun,Her grandfather on her mother's side was Italian.,她外祖父是義大利人。,/ˈɡrænfɑːðə(r)/,/ˈɡrænfɑːðər/
grandmother,（外）祖母,noun,Both my grandmothers were from Scotland.,我的奶奶和外婆都來自蘇格蘭。,/ˈɡrænmʌðə(r)/,/ˈɡrænmʌðər/
grant,（尤指政府為特殊目的給予個人或組織的）撥款，補助金,noun,a student/research grant,助學金／研究撥款,/ɡrɑːnt/,/ɡrænt/
grass,草，青草,noun,a blade of grass,一片草葉,/ɡrɑːs/,/ɡræs/
grateful,（尤指對其他人）感激的，表示感謝的,adjective,I'm so grateful (to you) for all that you've done.,你為我做了這一切，我（對你）真是感激不盡。,/ˈɡreɪtfl/,/ˈɡreɪtfl/
gravely,嚴重地，重大地;嚴肅地,adverb,gravely ill,病重,/ˈɡreɪvli/,/ˈɡreɪvli/
great,大量的；巨大的；強烈的,adjective,an enormous great hole,巨大的洞,/ɡreɪt/,/ɡreɪt/
greatly,（尤用於表示強烈感受或體驗）非常，很，大大地,adverb,I greatly regret not having told the truth.,我非常後悔沒有說出實情。,/ˈɡreɪtli/,/ˈɡreɪtli/
green,綠色的，草綠色的,adjective,green vegetables,綠葉蔬菜,/ɡriːn/,/ɡriːn/
grey,灰色的，灰白色的,adjective,a grey sky,灰暗的天空,/ɡreɪ/,/ɡreɪ/
grocery,雜貨店,noun,I was carrying three heavy bags of groceries.,,/ˈɡrəʊsəri/,/ˈɡrəʊsəri/
ground,地，地面,noun,I sat down on the ground.,我坐在地上。,/ɡraʊnd/,/ɡraʊnd/
group,組;群;批;簇,noun,I'm meeting a group of friends for dinner tonight.,今晚我要與一班朋友聚餐。,/ɡruːp/,/ɡruːp/
grow,增多；增大；增強；增長；成長；長大,verb,Children grow so quickly.,小朋友長得很快。,/ɡrəʊ/,/ɡrəʊ/
growth,成長；生長；發育,noun,A balanced diet is essential for healthy growth.,營養均衡的飲食對於健康發育是不可或缺的。,/ɡrəʊθ/,/ɡrəʊθ/
grow up,長大成人，成長;成熟,phrasal verb,I grew up in Scotland (= I lived there when I was young).,我是在蘇格蘭長大的。,,
guarantee,保證;（尤指公司保證對產品保修或包退的）保修單，包換單,noun,The system costs £99.95 including shipping and handling and a twelve-month guarantee.,包括郵資、包裝費用，該系統價格共計99.95英鎊，保用12個月。,/ˌɡærənˈtiː/,/ˌɡærənˈtiː/
guard,衛兵，警衛；看守，守衛,noun,prison guards,獄警,/ɡɑːd/,/ɡɑːrd/
guess,猜測，推測，估計,verb,"I didn't know the answer, so I had to guess.",我不知道答案，所以只好猜了。,/ɡes/,/ɡes/
guest,客人，賓客,noun,150 guests were invited to the wedding.,150位客人被邀參加婚禮。,/ɡest/,/ɡest/
guide,指南，要覽，手冊,noun,a hotel/wine guide,旅館／葡萄酒指南,/ɡaɪd/,/ɡaɪd/
guilty,內疚的，愧疚的，自責的,adjective,I feel so guilty about forgetting her birthday.,我忘了她的生日，深感內疚。,/ˈɡɪlti/,/ˈɡɪlti/
gun,槍;炮,noun,The British police do not carry guns.,英國員警不佩帶槍支。,/ɡʌn/,/ɡʌn/
guy,男人,noun,He's a really nice guy.,他真是個好人。,/ɡaɪ/,/ɡaɪ/
