Word,中文,詞性,例句,中文說明,EN,US
nervously,擔憂地，焦慮地,adverb,"He looked nervously over his shoulder, making sure no one else was listening.",他緊張地回頭望了一下，以確定沒有其他人在聽。,/ˈnɜːvəsli/,/ˈnɜːrvəsli/
nest,（鳥類或昆蟲的）窩，巢;（某些動物的）穴,noun,a bird's nest,鳥巢,/nest/,/nest/
net,網;網狀物,noun,a fishing net,漁網,/net/,/net/
network,網路，網狀系統,noun,a television network,電視網路,/ˈnetwɜːk/,/ˈnetwɜːrk/
never,從不;從未;永不,adverb,We've never been to Australia.,我們從未去過澳大利亞。,/ˈnevə(r)/,/ˈnevər/
nevertheless,不過，仍然;儘管如此,adverb,"I knew a lot about the subject already, but her talk was interesting nevertheless.",關於這個話題我已經知道很多，但她的報告聽起來還是很有趣。,/ˌnevəðəˈles/,/ˌnevərðəˈles/
new,新出現的;新興的,adjective,a new car,新車,/njuː/,/nuː/
newly,最近，新近,adverb,the newly formed residents' association,新成立的居民委員會,/ˈnjuːli/,/ˈnuːli/
news,消息;新聞,noun,That's the best (piece of) news I've heard for a long time!,那是我很長時間以來聽到過最好的消息！,/njuːz/,/nuːz/
newspaper,報紙，報,noun,Do you read a newspaper regularly?,你常看報紙嗎？,/ˈnjuːzpeɪpə(r)/,/ˈnuːzpeɪpər/
next,下一個的；其次的；緊接著的,adjective,Who works in the office next to yours?,誰在你隔壁的辦公室工作？,/nekst/,/nekst/
next to,倒數第二的,adjective,I was next to last in the race.,我在賽跑中排名倒數第二。,,
nice,愉快的;美好的;滿意的,adjective,Did you have a nice trip?,你旅途愉快嗎？,/naɪs/,/naɪs/
nicely,令人愉快地;滿意地,adverb,Those trousers fit you nicely.,那條褲子你穿很合身。,/ˈnaɪsli/,/ˈnaɪsli/
niece,侄女;外甥女,noun,,,/niːs/,/niːs/
night,侄女;外甥女,noun,It gets cold at night.,夜間天氣轉涼。,/naɪt/,/naɪt/
nine,（數字）9,number,The children go to bed at nine (o'clock).,小孩們九點鐘上床睡覺。,/naɪn/,/naɪn/
nineteen,（數字）19,number,"Simson, aged nineteen, was convicted on two charges of burglary.",19歲的西姆森被判兩項盜竊罪罪成。,/ˌnaɪnˈtiːn/,/ˌnaɪnˈtiːn/
nineteenth,第十九（的）,ordinal number,The new term starts on the nineteenth (of September).,新學期從（9月）19日開始。,/ˌnaɪnˈtiːnθ/,/ˌnaɪnˈtiːnθ/
ninetieth,第十九（的）,ordinal number,,,/ˈnaɪntiəθ/,/ˈnaɪntiəθ/
ninety,（數字）90,number,"eighty-nine, ninety, ninety-one",89， 90， 91,/ˈnaɪnti/,/ˈnaɪnti/
ninth,第九（的）,ordinal number,The ninth letter of the alphabet is I.,字母表中第九個字母是 I。,/naɪnθ/,/naɪnθ/
no,沒有，無,determiner,There's no butter left.,沒有奶油了。,/nəʊ/,/nəʊ/
nobody,沒有人，無人,pronoun,Is there nobody here who can answer my question?,這兒沒有人能夠回答我的問題嗎？,/ˈnəʊbədi/,/ˈnəʊbədi/
noise,噪聲;雜音;嘈雜聲;喧鬧聲,noun,The noise out in the street was deafening.,外面街道上的喧鬧聲震耳欲聾。,/nɔɪz/,/nɔɪz/
noisily,吵鬧地，喧嘩地，嘈雜地,adverb,A motorbike started up noisily outside.,一輛摩托車在外面嘈雜地啓動了。,/ˈnɔɪzɪli/,/ˈnɔɪzɪli/
noisy,喧鬧的，嘈雜的,adjective,a noisy crowd of fans,一群喧鬧的球迷,/ˈnɔɪzi/,/ˈnɔɪzi/
non-,（與形容詞和名詞連用）無，不，非,prefix,non-sexist,無性別歧視的,,
none,沒有一個（人或事物）;全無,pronoun,None of my children has/have blonde hair.,我的孩子們的頭髮都不是金色。,/nʌn/,/nʌn/
nonsense,愚蠢的想法；謬論；胡扯；胡鬧,noun,This report is nonsense and nothing but a waste of paper.,這份報告一派胡言，純粹是浪費紙張。,/ˈnɒnsns/,/ˈnɑːnsens/
no one,沒人，無人,pronoun,At first I thought there was no one in the room.,起初我以為房裡沒有人。,,
nor,也不（通常與 neither 連用）,conjunction,We can neither change nor improve it.,對此我們既無法改變，也無法加以改善。,/nɔː(r)/,/nɔːr/
normal,普通的；平常的；通常的,adjective,a normal working day,正常工作日,/ˈnɔːml/,/ˈnɔːrml/
normally,正常地,adverb,Are the phones working normally again?,這部電話又能正常使用了嗎？,/ˈnɔːməli/,/ˈnɔːrməli/
north,北;北方;北部,noun,"The points of the compass are north, south, east, and west.",羅盤上的方位點分別為北、南、東和西。,/nɔːθ/,/nɔːrθ/
northern,在北部的;從北部的,adjective,northern Europe,北歐,/ˈnɔːðən/,/ˈnɔːrðərn/
nose,鼻，鼻子,noun,a large/long/pointed nose,大／長／尖鼻子,/nəʊz/,/nəʊz/
not,（用於 be，can，have，will，must 等動詞後構成否定表達，在口語中常簡略為n't）不,adverb,He's not fat!,他不胖！,/nɒt/,/nɑːt/
note,短箋，便條,noun,He left a note to say he would be home late.,他留下字條說他會晚點回家。,/nəʊt/,/nəʊt/
note down,把…記下來,phrasal verb,I noted down his phone number.,我記下了他的電話號碼。,,
nothing,沒有東西;沒有事情,pronoun,There's nothing in the drawer - I took everything out.,抽屜裡甚麼也沒有——我把所有東西都拿出去了。,/ˈnʌθɪŋ/,/ˈnʌθɪŋ/
notice,看到;注意到;感覺到,verb,I noticed a crack in the ceiling.,我注意到天花板上有一道裂縫。,/ˈnəʊtɪs/,/ˈnəʊtɪs/
noticeable,顯而易見的，明顯的，顯著的,adjective,There has been a noticeable improvement in Tim's cooking.,提姆的烹飪水準顯著提高。,/ˈnəʊtɪsəbl/,/ˈnəʊtɪsəbl/
novel,（長篇）小說,noun,a paperback novel,平裝小說,/ˈnɒvl/,/ˈnɑːvl/
November,十一月,noun,He's starting his new job in November.,他將於11月開始新工作。,,
now,現在，此刻，目前,adverb,"She used to be a teacher, but now she works in publishing.",她過去曾是一名教師，但現在從事出版工作。,/naʊ/,/naʊ/
nowhere,任何地方都不;無處,adverb,These young people have nowhere (else) to go.,這些年輕人無處可去。,/ˈnəʊweə(r)/,/ˈnəʊwer/
nuclear,核能的;使用核能的,adjective,nuclear energy/power,核能／核動力,/ˈnjuːkliə(r)/,/ˈnuːkliər/
number,數字,noun,"25, 300, and a billion are all numbers.",25、300和10億都是數字。,/ˈnʌmbə(r)/,/ˈnʌmbər/
nurse,（尤指醫院的）護士，護理人員,noun,He worked as a nurse in a psychiatric hospital.,他在精神病院當護士。,/nɜːs/,/nɜːrs/
nut,堅果,noun,a Brazil/cashew nut,巴西堅果／腰果,/nʌt/,/nʌt/
